,id,title,author,authoryearofbirth,avg_speed,normalized_volume,log_downloads
0,PG10021,Tenterhooks,"Leverson, Ada",1862.0,0.07822821,0.6117405543081426,4.0943445622221
1,PG10025,Gaslight Sonatas,"Hurst, Fannie",1889.0,0.087939546,0.6307158554406619,3.80666248977032
2,PG10037,A Beautiful Possibility,"Black, Edith Ferguson",1857.0,0.08530875,0.6602682637705564,3.6375861597263857
3,PG10046,Salute to Adventurers,"Buchan, John",1875.0,0.082234286,0.7825095595716978,4.02535169073515
4,PG10057,The Secret of the Tower,"Hope, Anthony",1863.0,0.06860502,0.5063317488729363,4.276666119016055
5,PG10059,Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",1856.0,0.08075694,0.6497982400700136,4.127134385045092
6,PG10066,Gunman's Reckoning,"Brand, Max",1892.0,0.07436942,0.6796559430008516,5.525452939131784
7,PG10067,The Mystery of the Boule Cabinet: A Detective Story,"Stevenson, Burton Egbert",1872.0,0.08389544,0.708087161654671,4.77912349311153
8,PG10068,The Power and the Glory,"Cooke, Grace MacGowan",1863.0,0.07512046,0.7595936281405034,5.0238805208462765
9,PG10076,Lister's Great Adventure,"Bindloss, Harold",1866.0,0.079406045,0.639491910760036,3.8501476017100575
10,PG10081,"The Boy Allies at Jutland; Or, The Greatest Naval Battle of History","Hayes, Clair W. (Clair Wallace)",1887.0,0.084917694,0.5568354165236009,3.8918202981106265
11,PG10084,Kazan,"Curwood, James Oliver",1878.0,0.07800787,0.6008020812866591,4.727387818712341
12,PG10094,A Soldier of Virginia: A Tale of Colonel Washington and Braddock's Defeat,"Stevenson, Burton Egbert",1872.0,0.07864957,0.741055716555498,3.912023005428146
13,PG10095,"The Twilight of the Gods, and Other Tales","Garnett, Richard",1835.0,0.07190448,0.7304345736658199,5.099866427824199
14,PG10109,The Unspeakable Gentleman,"Marquand, John P. (John Phillips)",1893.0,0.07492569,0.5487500127976643,3.6635616461296463
15,PG10123,Aunt Jane's Nieces,"Baum, L. Frank (Lyman Frank)",1856.0,0.07284464,0.557468130419701,4.30406509320417
16,PG10134,"John Wesley, Jr.: The Story of an Experiment","Brummitt, Dan B. (Dan Brearley)",1867.0,0.07784133,0.7269535534904173,4.110873864173311
17,PG1013,The First Men in the Moon,"Wells, H. G. (Herbert George)",1866.0,0.08280878,0.6397157369477601,5.564520407322694
18,PG1018,The Water-Babies,"Kingsley, Charles",1819.0,0.09292833,0.5832556628054059,5.472270673671475
19,PG10210,"Wolves of the Sea: Being a Tale of the Colonies from the Manuscript of One Geoffry Carlyle, Seaman, Narrating Certain Strange Adventures Which Befell Him Aboard the Pirate Craft ""Namur""","Parrish, Randall",1858.0,0.08395402,0.7783521693228611,4.934473933130692
20,PG10212,Peck's Bad Boy with the Circus,"Peck, George W. (George Wilbur)",1840.0,0.075001046,0.5277983230690861,3.912023005428146
21,PG10221,Purple Springs,"McClung, Nellie L.",1873.0,0.0784513,0.778013519325039,3.80666248977032
22,PG10226,Beautiful Joe: An Autobiography,"Saunders, Marshall",1861.0,0.0872038,0.7567903241760163,4.356708826689592
23,PG10234,Old Creole Days: A Story of Creole Life,"Cable, George Washington",1844.0,0.09128617,0.6190072122132289,4.553876891600541
24,PG1023,Bleak House,"Dickens, Charles",1812.0,0.07787146,0.922950986773444,8.012349639327795
25,PG1024,The Wrecker,"Stevenson, Robert Louis",1850.0,0.075682215,0.8519651335790208,5.545177444479562
26,PG1028,The Professor,"Brontë, Charlotte",1816.0,0.079068,0.7789861254989443,6.126869184114185
27,PG102,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",1835.0,0.10009605,0.615865332372683,7.183111701743281
28,PG10322,Miss Prudence: A Story of Two Girls' Lives.,"Conklin, Nathaniel, Mrs.",1841.0,0.08604705,0.7577567759048546,3.4011973816621555
29,PG10323,"The Rover Boys at College; Or, The Right Road and the Wrong","Stratemeyer, Edward",1862.0,0.07817975,0.6437662339271466,3.951243718581428
30,PG10330,Fruitfulness,"Zola, Émile",1840.0,0.07304128,0.8613761570450075,4.983606621708336
31,PG10340,Dab Kinzer: A Story of a Growing Boy,"Stoddard, William O.",1835.0,0.08825002,0.6815918488463178,4.31748811353631
32,PG10342,The Velvet Glove,"Merriman, Henry Seton",1862.0,0.07274113,0.6565396819841688,4.77912349311153
33,PG10358,The Boss of Little Arcady,"Wilson, Harry Leon",1867.0,0.07760708,0.7200121219926741,5.204006687076795
34,PG10359,Aunt Jane's Nieces at Millville,"Baum, L. Frank (Lyman Frank)",1856.0,0.08419762,0.5553504960985723,3.951243718581428
